Salt ID,Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,Model Density,MD Density,% Difference
C01_A01,CCCC(CCC(C)CC[NH3+])C1CC1.NC(=O)CC(N)C(=O)[O-],14,0.4901960784313725,"2-methoxy-N,N,N-trimethylethan-1-aminium",L-asparaginate,1000,,
C02_A02,CC[S+](P)(CC)C(C)F.NCCS(=O)(=O)[O-],9,0.4576271186440678,"2-methoxy-N,N,N-trimethylethan-1-aminium",2-aminoethanesulfonate,1000,,
C03_A03,CC(S)[P+](O)CF.CCCCCCCCC=CCCCCCCCC(=O)[O-],7,0.43478260869565216,"N,N,N',N'-tetramethylguanidine",oleate,1000,,
C04_A04,C[P+]PC(N)=O.CCCCOS(=O)(=O)[O-],6,0.42857142857142855,"1,1,3,3-tetramethylguanidinium",butyl sulfate,1000,,
C05_A05,C[F+]S(=O)(=O)ONS.CCCCC(CC)CCC(=O)[O-],8,0.4621848739495799,2-(ethoxymethyl)-1-ethyl-3-methylimidazolium,4-ethyloctanoate,1000,,
C06_A06,CCCCC(CCCC)[N+]F.O=S(=O)([O-])CCN(CCO)CCO,11,0.475,diethylmethylammonium,2-(bis(2-hydroxyethyl)amino)ethanesulfonate,1000,,
C07_A07,CC[P+](CC)CC.CCCCCCCCO[PH](=O)[O-],7,0.4390243902439024,tributylmethylphosphonium,octyl phosphonate,1000,,
C08_A08,CCCCCCCCC(C)([NH3+])C(C)C.NC(=O)CC(N)C(=O)[O-],14,0.4941176470588236,1-methyl-1-octylpiperidin-1-ium,L-asparaginate,1000,,
C09_A09,CCB[N+](C)CCC.N#Cc1ccc[n-]1,8,0.4893617021276596,"N,N-diethyl-N-methylpropan-1-aminium",2-cyanopyrrolide,1000,,
C10_A10,CCCCC(CCCC)C([NH3+])CCC.Cc1ccc(S(=O)(=O)[O-])cc1,14,0.4745762711864407,1-[2-(ethylsulfonyl)ethyl]-3-methyl-1H-imidazol-3-ium,p-toluenesulfonate,1000,,
C11_A11,CCCCB[N+](C)(C)C.CS(=O)(=O)[O-],9,0.4444444444444444,"N,N,N',N'-tetramethylguanidine",methanesulfonate,1000,,
C12_A12,Cc1c[n+](F)c[nH]1.CCCCP(=O)([O-])[O-],7,0.4912280701754386,"2-methoxy-N,N,N-trimethylethan-1-aminium",butylphosphonate,1000,,
C13_A13,CCCC(C)C(C)CC[P+].N#Cc1ccc[n-]1,10,0.4473684210526316,triethylheptylphosphonium,2-cyanopyrrolide,1000,,
C14_A14,CC[P+](CC)CC.CCCC(=O)[O-],7,0.4390243902439024,tributylmethylphosphonium,butanoate,1000,,
C15_A15,CCC([PH3+])CCC(C)F.[Cl-],9,0.4534883720930232,trihexyl(isobutyl)phosphonium,chloride,1000,,
C16_A16,CC[P+](CC)CC.CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-],7,0.4390243902439024,tributylmethylphosphonium,"1,4-bis((2-ethylhexyl)oxy)-1,4-dioxobutane-2-sulfonate",1000,,
C17_A17,CCCCC(C(CC)CC)C(CCC)C(C)C([NH3+])F.O=C(O)c1cccc(S(=O)(=O)[O-])c1,19,0.4833333333333333,"2-methoxy-N,N,N-trimethylethan-1-aminium",3-sulfobenzoate,1000,,
C18_A18,[NH3+]CCOC1CC1.CCCCCCCCP(=O)([O-])[O-],7,0.4583333333333333,"2-methoxy-N,N,N-trimethylethan-1-aminium",octylphosphonate,1000,,
C19_A19,CCC([NH3+])(CC)C1CC1.CC(C)C(N)C(=O)[O-],9,0.43859649122807015,"2-methoxy-N,N,N-trimethylethan-1-aminium",L-valinate,1000,,
C20_A20,CCCCC(C)C([P+]P)C(C)CC.O=[N+]([O-])c1cn[n-]c1,13,0.4725274725274725,tributyloctylphosphonium,4-nitropyrazolide,1000,,
C21_A21,CCCCCOCB([NH3+])CC.Cc1ccc(S(=O)(=O)[O-])cc1,11,0.44642857142857145,"2-methoxy-N,N,N-trimethylethan-1-aminium",tosylate,1000,,
C22_A22,CCCC(F)C[S+](C)(O)CC.CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-],11,0.492063492063492,"2-methoxy-N,N,N-trimethylethan-1-aminium","1,4-bis((2-ethylhexyl)oxy)-1,4-dioxobutane-2-sulfonate",1000,,
C23_A23,CCC[CH3+].CCCCO[PH](=O)[O-],4,0.42857142857142855,n-butylammonium,butyl phosphonate,1000,,
C24_A24,CCCCCCC(CC)C([NH3+])CCCC.[NH3+]C(CCC(=O)[O-])C(=O)[O-],15,0.4957983193277311,1-[2-(ethylsulfonyl)ethyl]-3-methyl-1H-imidazol-3-ium,(S)-2-amino-4-carboxybutanoate,1000,,
C25_A25,CCBC([N+])F.[O-][Cl+3]([O-])([O-])[O-],6,0.4107142857142857,"4-methyl-1-propyl-1,2,4-triazolium",perchlorate,1000,,
