Salt ID,Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,Model Density,MD Density,% Difference
C01_A01,CCCc1c(C(=O)NF)n(CC)c[n+]1C.CCCCP(=O)([O-])[O-],15,0.5198412698412699,3-butyl-1-methyl-1H-imidazolium,butylphosphonate,1000,,
C02_A02,CCCCOC[n+]1cc(C)cc(C)c1PCCCC.CCP(=O)([O-])[O-],19,0.5228215767634855,1-ethyl-2-methylpyridinium,ethylphosphonate,1000,,
C03_A03,CCC(N)(F)[SH](N)C(=[NH2+])NC.O=S(=O)(F)[N-]S(=O)(=O)F,11,0.515625,"2-methoxy-N,N,N-trimethylethan-1-aminium",bis(fluorosulfonyl)amide,1000,,
C04_A04,Cc1ccc[n+](C)c1S(C)=O.CCCCCCCCC=CCCCCCCCC(=O)[O-],11,0.5209302325581395,1-ethyl-3-methylpyridinium,oleate,1000,,
C05_A05,CCC(C)NCc1cccc(C)[n+]1C.CC(C)C(=O)[O-],14,0.5882352941176471,1-ethyl-2-methylpyridinium,isobutyrate,1000,,
C06_A06,CCCCC(C)(CCCC)CC1CC(O)C[NH2+]1.N#C[B-](C#N)(C#N)C#N,17,0.55,"2-methoxy-N,N,N-trimethylethan-1-aminium",tetracyanoborate,1000,,
C07_A07,CCCC[PH]#CC(N)(NC(F)=C[N+])S(N)(=O)=O.N#Cc1nc[n-]c1C#N,17,0.515625,"2-methoxy-N,N,N-trimethylethan-1-aminium","4,5-dicyanoimidazolide",1000,,
C08_A08,[N+]CCCNO.CCCCCCP(=O)([O-])[O-],6,0.5909090909090909,2-methylpropylammonium,hexylphosphonate,1000,,
C09_A09,CCCCC1COCC[N+]1(C)C(F)CCC.[N-]=[N+]=[N-],16,0.5337243401759529,4-hexyl-4-methylmorpholin-4-ium,azide,1000,,
C10_A10,CCC(C)Cc1c(C)ccc([N+])c1N.O=S(=O)([O-])CC(O)CNC1CCCCC1,14,0.515625,"2-methoxy-N,N,N-trimethylethan-1-aminium",3-(cyclohexylamino)-2-hydroxypropanesulfonate,1000,,
C11_A11,Bc1cn(BC)c(F)[n+]1CC(=O)NCCCC.CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C,17,0.5352112676056338,3-(2-(butylamino)-2-oxoethyl)-1-ethyl-1H-imidazolium,"bis(2,4,4-trimethylpentyl)phosphinate",1000,,
C12_A12,CCCCC(CC)CCNCn1c[n+](C)cc1CC.O=C([O-])C(F)(F)F,19,0.5361702127659574,1-isobutenyl-3-methylimidazolium,trifluoroacetate,1000,,
C13_A13,CCCCCC[NH+](PC)C(C)(CC)C1CC1.O=C([O-])O,16,0.5213675213675214,1-methyl-1-octylpiperidin-1-ium,hydrogen carbonate,1000,,
C14_A14,CCNC(CC)[n+]1cn(C)cc1C.O=C[O-],13,0.5739130434782609,3-butyl-1-methyl-1H-imidazolium,formate,1000,,
C15_A15,CCCc1c[n+](C)c(C)n1C(F)CP.CC(C)CC(N)C(=O)[O-],14,0.5362903225806451,3-butyl-1-methyl-1H-imidazolium,L-leucinate,1000,,
C16_A16,CCc1[nH+]c(N)cn1CC(C)CC.N#Cc1ccc[n-]1,13,0.5878787878787879,"1-but-1-enyl-2,3-dimethylimidazolium",2-cyanopyrrolide,1000,,
C17_A17,CCCC(=C(F)CF)n1cc[n+](C)c1CC.CC(=O)[O-],16,0.552,1-isobutenyl-3-methylimidazolium,acetate,1000,,
C18_A18,CNC(Cl)(CC(O)C(F)(F)F)[n+]1ccccc1.CCC(=O)[O-],17,0.5358649789029536,1-ethyl-2-methylpyridinium,propionate,1000,,
C19_A19,CCCCCC([n+]1ccn(C)c1C)S(=O)(=O)OC.CCC(=O)[O-],18,0.5502008032128514,1-isobutenyl-3-methylimidazolium,propionate,1000,,
C20_A20,CCCCCCC(B[n+]1cn(CC)cc1CC)CC.c1nnc[n-]1,19,0.5306122448979592,1-isobutenyl-3-methylimidazolium,"1,2,4-triazolide",1000,,
C21_A21,BCn1c(F)c(C)[n+](B(C)CCCC)c1CCCC.[NH3+]C(CCC(=O)[O-])C(=O)[O-],19,0.53515625,1-isobutenyl-3-methylimidazolium,(S)-2-amino-4-carboxybutanoate,1000,,
C22_A22,CCCC[N+](C)(F)CO.CCCCOS(=O)(=O)[O-],9,0.5185185185185185,butyltrimethylammonium,butyl sulfate,1000,,
C23_A23,CCCCc1c(C)c[n+](CCCC)n1C.CCCCCCCCCCCCOS(=O)(=O)[O-],15,0.5267489711934157,3-butyl-1-methyl-1H-imidazolium,dodecyl sulfate,1000,,
C24_A24,CC([NH3+])F.COCCOCCOS(=O)(=O)[O-],4,0.5714285714285714,diethylammonium,2-(2-methoxyethoxy)ethyl sulfate,1000,,
C25_A25,CCCCCC[n+]1cn(PC)cc1CC(C)CC.CCOS(=O)(=O)[O-],18,0.559322033898305,3-butyl-1-methyl-1H-imidazolium,ethylsulfate,1000,,
