Salt ID,Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,prediction 0,prediction 1,calculation 0,calculation 1,error 0,error 1,Round,category
C19_A19,CCCCCC(CC)[n+]1ccn(C)c1NCCC.C[C@@H](O)[C@H](N)C(=O)[O-],18,0.6420118343195266,1-cyclopentyl-3-butylimidazolium,L-threoninate,904.44,1261.18,852.91,999.48,6.04,26.18,0.2,Imidazolium
C25_A25,CCCc1ccccc1CC[n+]1ccn(C)c1.CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C,17,0.7898832684824902,1-methyl-3-(2-phenylethyl)-1H-imidazolium,"bis(2,4,4-trimethylpentyl)phosphinate",946.79,1199.95,428.11,1568.11,121.16,23.48,0.2,Imidazolium
C26_A26,CCCCC(C(C)F)[SH]([NH3+])CON(CN)OCC.CC(C)[C@H](N)C(=O)[O-],18,0.5284552845528455,(3-aminopropyl)tributylphosphonium,L-valinate,966.54,1238.91,602.26,1318.48,60.49,6.03,0.2,Phosphonium
C29_A29,C=C(CCC)C(CCC)[NH+](C)CC=NCCCP.CCCCCCCCCC(=O)[O-],18,0.5254237288135594,N-methylpyrrolidone,decanoate,925.14,1222.27,702.37,1290.66,31.72,5.3,0.2,Other
C32_A32,CCCC(CC)C[N+](N)=C(N)N(F)F.COS(=O)(=O)[O-],14,0.5315315315315315,1-ethyl-1H-imidazolium,methylsulfate,901.84,1210.22,785.97,1136.18,14.74,6.52,0.2,Imidazolium
C40_A40,CC[P+](C)CC.CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C,6,0.3902439024390244,tributylethylphosphonium,"bis(2,4,4-trimethylpentyl)phosphinate",911.4,1311.17,663.25,1277.56,37.41,2.63,0.2,Phosphonium
C41_A41,CCC(F)(CCCl)[N+](C)(C)CC1CC1N=NF.CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-],17,0.5080645161290323,1-isobutyl-1-methylpyrrolidinium,"1,4-bis((2-ethylhexyl)oxy)-1,4-dioxobutane-2-sulfonate",927.8,1305.42,302.21,1291.87,207.01,1.05,0.2,Pyrrolidinium
C51_A51,CCCCC(CCC)[NH2+]CC(F)C(F)(F)F.O=S(=O)([O-])C(F)(F)C(F)OC(F)(F)F,16,0.5196078431372549,1-methyl-1-octylpiperidin-1-ium,"1,1,2-trifluoro-2-(trifluoromethoxy)ethanesulfonate",947.6,1259.2,698.29,1031.46,35.7,22.08,0.2,Piperidinium
C53_A53,CC(CF)C(N)([NH3+])C(C)C(C)S(F)(F)F.COCCOCCOS(=O)(=O)[O-],15,0.5123966942148761,N-methylpyrrolidone,2-(2-methoxyethoxy)ethyl sulfate,795.65,1460.02,571.32,892.48,39.27,63.59,0.2,Other
C54_A54,CC(CSCC[CH3+]F)C(F)(F)F.[N-]=[N+]=[N-],12,0.5175438596491229,1-(2-cyanoethyl)-3-(2-hydroxyethyl)-1H-imidazolium,azide,930.45,1212.97,395.68,1452.75,135.15,16.51,0.2,Imidazolium
C57_A57,CCCC(CC[N+](C)(C)[SH](N)CO)C(C)C.CCCC(=O)[O-],16,0.4954128440366973,1-methyl-1-octylpiperidin-1-ium,butanoate,837.23,1344.98,512.85,1258.60,63.25,6.86,0.2,Piperidinium
