,0
Unique salts,252
Cations,"array(['CCCC[n+]1ccc(cc1)C', 'CCCCn1cc[n+](c1C)C',
       'CCCCCCCCn1cc[n+](c1)C', 'CCCCn1cc[n+](c1)C', 'CCn1cc[n+](c1)C',
       'CCCCCCn1cc[n+](c1)C', 'CCCC[n+]1cccc(c1)C', 'CCCC[n+]1ccccc1',
       'CCC[n+]1ccccc1', 'CCCCCCCC[n+]1cccc(c1)C', 'CCCCC[n+]1ccccc1',
       'CCCCCCCCCCn1cc[n+](c1)C', 'CC[n+]1ccccc1', 'c1c[n+](cn1CCCCC)C',
       'c1c[n+](cn1CCCCCCC)C', 'c1c[n+](cn1CCCCCCCCC)C',
       'CCCC[N+]1(CCCC1)C', 'CCCC[N+](C)(C)C', 'CCCC[n+]1cccc(c1)C#N',
       'CCC[N+]1(CCCCC1)C', 'CCCCCCCCCCCCCCn1cc[n+](c1)C',
       'CCCC[n+]1ccn(c1)Cc2ccccc2', 'CCCC[N+]1=C(NC=C1)C2=CC=CC=C2',
       'c1c(C)c[n+](cc1)CCCCCCCC', 'c1c(C)c(CC)[n+](cc(C)1)CCCCCC',
       'c1c(C(=O)OCCCC)c[n+](cc1)CCCC', 'CCC[n+]1cccc(c1)C',
       'CCCCCC[n+]1ccc(C#N)cc1',
       'C(CCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC)CCCCC', 'C[n+]1cc[nH]c1',
       'C[n+]1ccccc1', 'CCCn1cc[n+](c1)C', 'CCCCCCCC[n+]1ccc2ccccc2c1',
       'C[NH+]1CN(C=C1)CC2=CC=CC=C2', 'N#CCCCn1cc[n+](c1)C',
       'CCCCCCC[n+]1cc(C)ccc1', 'CCCCCC[n+]1cc[n](c1)C',
       'CC[n+]1cn(cc1)C', 'C(CCCCCCCC[N+](CC)(CC)CC)C',
       'CCCCCCCC[n+]1cccc(c1)C#N', 'CN(C)c1c(C)c[n+](cc1)CCCCCC',
       'C2(C)CCN(CC2)c1cc[n+](cc1)CCCCCC', 'CCCCCC[n+]1cccc(C#N)c1',
       'CCCC[N+]1(CCCCC1)C', 'Cn1cc[n+](c1)C', 'OCC[NH2+]C',
       '[P+](CCCC)(CCCC)(CCCC)(CC)', 'C[n+]1ccn(c1)CCO', 'C1CC[NH2+]C1',
       'CC[NH3+]', 'CCCC[P+](CCCC)(CCCC)CCCC', 'CCCC[N+](C)(CCCC)CCCC',
       'CCCn1cc[n+](c1C)C', 'CCn1cc[n+](c1C)C', 'CCC[N+]1(CCCC1)C',
       'Cn1cc[n+](c1C)CCCCCC', '[P+](CC)(CC)(CC)(CCCCCCCC)',
       'CCCCCC[n+]1cccc2c1cccc2', 'C1=C[N+](C)=CN1CCCCCCCCCC',
       'CCCCCCCCCCCC[N+](CC)(CC)CC', 'CCCCCCCCCCCCCC[N+](CC)(CC)CC',
       'CC[n+]1ccc(cc1)C', 'CCCC[N+]1=CN(C2=CC=CC=C21)',
       'CN1C=C[N+](=C1)CC2=CC=CC=C2', 'CCCCCCCCCCCCCCCCn1cc[n+](c1)C',
       'CCCCCCCC[n+]1ccccc1', 'CC[n+]1cccc(c1)C', 'CC[n+]1ccccc1C',
       'CCCC[n+]1ccccc1CC', 'CC[n+]1ccccc1CC',
       'N#Cc1c(c(c([nH+]c1N)CC(C)C)C)c2ccccc2Cl',
       'CC[n+]1cccc(c1(CCCCC))', 'C[N+]1(CCCC1)CC(C)(C)',
       'CCC[n+]1ccccc1CC', 'CCCCCC[n+]1ccccc1CC', 'CCCCCCCC[n+]1ccccc1CC',
       'CCCCCCC[n+]1ccccc1CC', '[P+](CC)(CC)(CC)(CCCCCC)',
       'CC[n+]1ccccc1(CC)', 'O=C(OCC)c1ccc[n+](c1)CC',
       'CCCCCC[n+]1ccccc1', 'c1c[n+](cn1CC(C)C)C',
       'CCCC[n+]1ccc(N(C)C)c(c1)', 'CCCC[N+](CCCC)(CCCC)CCCC',
       'CCCCCCC[n+]1ccn(CC)c1N', 'Cc1ccc[n+](CCCCCCCCC(F)(F)F)c1',
       'PCCCCCCCCCCC[n+]1ccccc1', 'CCCCCC(CCCC)Cn1cc[n+](CN)c1',
       'FCCCCCn1cc[n+](CCCCF)c1NF', 'CCCC(P)CCCC[N+]1(C)CCCCC1',
       'CCCCn1cc[n+](C)c1NCC', 'CCCC[P+](CC)(CCCC)CC(S)CC',
       'CCCC(CC)CCn1cc[n+](C)c1C(F)(F)F',
       'C=NC([n+]1ccn(CCCCCCC)c1)C(F)(F)F',
       'CCCCC(C)(CCC)CC[N+](C)(C)CC(F)(F)F', 'CCCCCCC(N)[N+](C)(CC)CCCC',
       'CCC[n+]1ccn(CC(C)C(N)(F)F)c1', 'CCCCCC[n+]1ccn(CC(C)C)c1C(F)(F)F',
       'CCCn1cc(N=C=O)[n+](CCC)c1', 'CCC[N+](C)(CCO)CCCCCCS(C)(=O)=O',
       'CCCCC(CC)(CCC)CC[N+]1=C(S)CCC1',
       'CCCC(C)CCCC([n+]1ccccc1)C(F)(F)F', 'FC[n+]1cc(F)n(CCCOF)c1',
       'CCCCCCNCn1cc[n+](C)c1C#N', 'CCCC(C)c1cccc[n+]1C(CCP)C(F)(F)F',
       'CCCCCCC[N+](C)(C)C(P)CCCC', 'CCc1ccc(N=NC)c[n+]1CC(CF)C(=O)F',
       'CCCCc1cn(C)c[n+]1CCCC(CF)C(=O)O', 'CCCCNc1[nH]c(N)c[n+]1C',
       'C=S(=O)(F)c1n(C)c(NPC(C)C)c(NC)[n+]1F',
       'CCC(CC)COC(C(P)CF)C(N)[NH2+]OC', 'CCCCCCCCCCn1cc[n+](S)c1N',
       'CCCCC(F)[N+](C)(C)CCOC(C)=O',
       'CCCC([NH3+])(F)C(CC(C)C(C)=O)C(N=N)NSC',
       'CNc1c(F)ccc[n+]1C(OCO)C(C)(C)C',
       'Nc1c(N=NF)ccc(N=NNO)[n+]1C(F)C(O)P', 'CCCCC[n+]1cc(NC)n(CCC)c1NC',
       'CCCC(N)(CCC)[n+]1ccc(N(C)C)c(P)c1',
       'CCCCC(N=NC(=O)O)[n+]1ccc(F)cc1N', 'CC(C1CC1)C(CCF)[NH2+]C(N)OO',
       'CCCC[NH2+]C(S)(OC(C#N)CCCC(C)F)SO',
       'CN(CC(C)(N)F)c1cc[n+](CCCCF)c(F)c1', 'CCCCCCC[NH+](C)CN',
       'CCCCCCCCCn1cc(N=C=O)[n+](C)c1', 'CCCCc1cn(C)c[n+]1CCC(F)(F)F',
       'CCCC(CCC)Cc1c(C)cc(C)c(N)[n+]1CC',
       'C=CC(F)(n1c(N)c(CC)[n+](C)c1C)[SH](=O)=O',
       'CCCCP(CCC)CC(C[NH3+])PCCC', 'Nc1c[n+](CO)c(N[SH](=O)=O)n1CF',
       'CCCC1CC1C(CO)C(F)(CC[NH3+])CCCF', 'CCCCCCCC[N+]1(C)CCC(Cl)CC1',
       'CCCCn1cc[n+](CCCCCCONO)c1', 'CCC(CC)CCCCCCCn1cc[n+](S)c1N',
       'Cc1cc[n+](CCCCCCCCCCCP)cc1', 'Cc1ccc[n+](CCCCCCCCCCCP)c1',
       'CCCCCCCCCCn1c[n+](C)cc1NO', 'CCCCCCCCCCn1cc[n+](SS)c1N',
       'CCCCCCCC[n+]1cccc(C)c1CCC', 'CCCCCCCC[n+]1cccc(CF)c1',
       'CCCc1n(C)c(CC)c[n+]1C(N)C(C)C', 'CCC(CCP)C(SCC(C)CCCN)N([NH3+])O',
       'CCCC([NH3+])C(C)(CCC)N(N=N)C(C)=O',
       'CCC(CCCCCCCCCl)n1cc[n+](C)c1', 'CCCCCC[n+]1ccn(C(N)(CC)CCC)c1',
       'CCC(CCCS)[n+]1cc[nH]c1', 'CCCCCC[n+]1c(N=N)c(PCC)n(C)c1C',
       'CCCC(S)C[n+]1cc[nH]c1', 'CCCCC(CCC)[n+]1cc[nH]c1',
       'CCCCCCC(NF)[N+](C)(CCCl)CCCC', 'CCCCc1c[n+](C)c(CCC(C)CC)n1CC',
       'CCCNC(=[NH+]C(Cl)CC)N(C)CSCCC', 'CCCC(C)CC[NH+](C)C=N',
       'CCCC(C)c1c(C)n(C(C)CC)c(N)[n+]1C(C)S',
       'CCCCCC[n+]1cc(CCC)cc(C)c1CC', 'CCCC(CC(C)CC)C[NH+]1C=NC(P)=C1',
       'O=NC(F)(NC(=O)S)[n+]1cc[nH]c1'], dtype=object)"
Anions,"array(['[B-](F)(F)(F)F', 'F[P-](F)(F)(F)(F)F', 'N#C[B-](C#N)(C#N)C#N',
       'C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F', 'C(#N)[N-]C#N',
       'C(F)(F)(F)S(=O)(=O)[O-]', 'CS(=O)(=O)[O-]', 'Cl[Fe-](Cl)(Cl)Cl',
       'COS(=O)(=O)[O-]', '[I-]', 'C(#N)[C-](C#N)C#N', 'C(#N)[S-]',
       'CC(=O)[O-]', '[Cl-]', '[Br-]',
       'CC(CC(C)(C)C)CP(=O)(CC(C)CC(C)(C)C)[O-]', 'C(=C(C#N)C#N)=[N-]',
       'COP(=O)([O-])OC', 'CCCCC(=O)[O-]', 'CCCC(=O)[O-]', 'CCC(=O)[O-]',
       'CCOP(=O)([O-])OCC', 'C(=[N-])=NC#N', '[N+](=O)([O-])[O-]',
       'C(C(=O)[O-])N', 'C(=O)(C(F)(F)F)[O-]', 'C(CS(=O)(=O)[O-])N',
       'C(CCN)C[C@@H](C(=O)[O-])N', 'C[C@H]([C@@H](C(=O)[O-])N)O',
       'C([C@@H](C(=O)[O-])N)S', 'C(C(F)(F)S(=O)(=O)[O-])(F)F',
       'CC(C)[C@@H](C(=O)[O-])N',
       'C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F',
       'FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F', 'C[C@@H](C(=O)[O-])N',
       'C([C@@H](C(=O)[O-])N)O', 'C1C[C@H](NC1)C(=O)[O-]',
       'CCOS(=O)(=O)[O-]', 'CC1=CC=C(C=C1)S(=O)(=O)[O-]',
       'C1=CC=C(C=C1)[O-]', 'C([C@@H](C(=O)[O-])N)C(=O)N',
       'CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-]',
       'CCCCCCCCOS(=O)(=O)[O-]', 'OS(=O)(=O)[O-]',
       'COCCOCCOS(=O)(=O)[O-]', 'O=C([O-])[C@@H]1CCCN1',
       'NCCCC[C@H](N)C(=O)[O-]', 'C[C@@H](O)[C@H](N)C(=O)[O-]',
       'O=C([O-])C(F)(F)F', 'N#CN=C=[N-]', 'N[C@@H](CO)C(=O)[O-]',
       'O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F', 'N#C[N-]C#N',
       'N#C[C-](C#N)C#N', 'O=S(=O)([O-])C(F)(F)F', 'NCCS(=O)(=O)[O-]',
       'N#C[S-]', 'O=[N+]([O-])[O-]'], dtype=object)"
Total datapoints,1811
"Heat capacity at constant pressure, J/K/mol",207.47 - 2290.0
"Temperature, K",297.04 - 315.95
"Pressure, kPa",100.0 - 101.325
