Salt ID,Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,Model Density,MD Density,% Difference
C01_A01,CCCCCCC[n+]1cccc(C#N)c1C.N#C[B-](C#N)(C#N)C#N,16,0.766109785202864,"1-hexyl-2,3,5-trimethylpyridinium",tetracyanoborate,1000,,
C02_A02,CCC(C)n1cc[n+](CN)c1.CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-],11,0.7215909090909091,"1,3-dipropyl-1H-imidazol-3-ium","1,4-bis((2-ethylhexyl)oxy)-1,4-dioxobutane-2-sulfonate",1000,,
C03_A03,CCCC(C)[n+]1ccccc1C.CCCCC(=O)[O-],12,0.7103825136612022,1-ethyl-2-methylpyridinium,pentanoate,1000,,
C04_A04,CCCCCCCc1cc(NC)cc[n+]1CC.[N-]=[N+]=[N-],17,0.7675840978593272,1-ethyl-2-pentylpyridin-1-ium,azide,1000,,
C05_A05,CCCC[N+](CCCC)(CCCC)CCCF.O=P([O-])([O-])[O-],17,0.796875,1-butyl-1-methylpyrrolidinium,phosphate,1000,,
C06_A06,CCCCC(CC)CC[P+](CC)(CC)CC.CCCCCCP(=O)([O-])[O-],16,0.7777777777777778,triethylheptylphosphonium,hexylphosphonate,1000,,
C07_A07,CCc1cc(F)cc[n+]1C.CC(C)C(=O)[O-],10,0.7545454545454545,2-ethyl-1-methylpyridinium,isobutyrate,1000,,
C08_A08,CNC(CCP)CCCC[N+]1(C)CCCCC1.NCCCCC(N)C(=O)[O-],17,0.7294117647058823,1-methyl-1-octylpiperidin-1-ium,L-lysinate,1000,,
C09_A09,BC(CCC)CC[P+](CC)(CCCC)CCCC.N#CC(=C=[N-])C#N,18,0.7380952380952381,triethylhexylammonium,tricyanomethanide,1000,,
C10_A10,CC(C)CCCC(C)C[N+](C)(CC(C)C)CC(C)C.CCOS(=O)(=O)[O-],19,0.7857142857142857,1-isobutyl-1-methylpiperidinium,ethylsulfate,1000,,
C11_A11,CCCCCC(CC)CC[P+](CC)(CC)CC.CO[PH](=O)[O-],17,0.7710843373493976,tributyloctylphosphonium,methyl phosphonate,1000,,
C12_A12,CCCCC[NH+](CCO)CCO.CCCCCCCCCCCCOS(=O)(=O)[O-],12,0.7468354430379747,1-(2-methoxyethyl)-1-methylpiperidinium,dodecyl sulfate,1000,,
C13_A13,BC(CC)CCCC(P)CCC[P+](CC)(CC)CC.CCO[PH](=O)[O-],19,0.7032967032967034,tributyloctylphosphonium,ethyl phosphonate,1000,,
C14_A14,CCCCC[P+](C)(CC)C(C)CC.CCCCCCCCP(=O)([O-])[O-],13,0.7916666666666666,triethylpentylammonium,octylphosphonate,1000,,
C15_A15,CCC(F)CCCCC(CC)C[n+]1ccc(C)cc1.CCCCCCOS(=O)(=O)[O-],19,0.7975460122699386,1-hexyl-4-methylpyridinium,hexyl sulfate,1000,,
C16_A16,CCCCC[NH+](C)C.NCCCCC(N)C(=O)[O-],8,0.7878787878787878,butyltrimethylammonium,L-lysinate,1000,,
C17_A17,CCCC(C)[N+](C)(C)CCCCCC(C)N.CC(=O)[O-],16,0.7671232876712328,"N-ethyl-N,N-dimethylheptanaminium",acetate,1000,,
C18_A18,CCCC[n+]1ccc(NCS(C)=O)cc1CC.CCCCCCP(=O)([O-])[O-],17,0.7190332326283988,2-butyl-1-ethylpyridin-1-ium,hexylphosphonate,1000,,
C19_A19,CCCCC(CBC#N)n1cc[n+](C)c1.CCCCC(CC)CCC(=O)[O-],15,0.7037037037037037,1-cyclopentyl-3-butylimidazolium,4-ethyloctanoate,1000,,
C20_A20,CCNCC[n+]1ccn(CCCC(C)P)c1.N#C[C-](C#N)C#N,16,0.7204301075268817,3-butyl-1-methyl-1H-imidazolium,tricyanomethane,1000,,
C21_A21,CCC(C)CCCCC[P+](C)(CC)CCN.[Cl-],16,0.7441860465116279,tributyloctylphosphonium,chloride,1000,,
C22_A22,CCCCc1cc[n+](CCCC)cc1.CC(N)C(=O)[O-],14,0.7935483870967742,1-butyl-2-methylpyridinium,L-alaninate,1000,,
C23_A23,CCCCc1n(CCC(CC)CCC)cc[n+]1C.[N-]=[N+]=[N-],18,0.7326732673267327,"1-hexyl-2,3-dimethylimidazolium",azide,1000,,
C24_A24,CCCC1CC[N+](C)(CCC)C1.N#CC(=C=[N-])C#N,12,0.75,1-isobutyl-1-methylpyrrolidinium,tricyanomethanide,1000,,
C25_A25,C=NC(C)C[n+]1ccccc1.CCCCCCCCC=CCCCCCCCC(=O)[O-],11,0.703125,1-propylpyridinium,oleate,1000,,
