Salt ID,Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,Model Density,MD Density,% Difference
C01_A01,CCCCCCCC[n+]1cc[nH]c1.COP(=O)([O-])OC,13,0.9,1-butylimidazolium,dimethylphosphate,1000,1069 +/- 38,6.4%
C02_A02,CCCCC[S+](CC)CC.CCCCCCCCO[PH](=O)[O-],10,0.9148936170212766,1-butylthianium,octyl phosphonate,1000,,
C03_A03,CC[N+](C)(C)CCCC(C)C.[Cl-],11,0.9090909090909092,"N,N-dimethyl-N-ethyl-N-pentylammonium",chloride,1000,,
C04_A04,Cn1cc[n+](CCCCCCCCCCP)c1.N#C[S-],17,0.9378531073446328,1-methyl-3-octyl-1H-imidazolium,thiocyanate,1000,,
C05_A05,CCCC(CC)CCCCn1cc[n+](CCC#N)c1.N#C[S-],19,0.9402985074626866,3-(2-cyanoethyl)-1-decyl-1H-imidazolium,thiocyanate,1000,,
C06_A06,C#CCCCCCCn1cc[n+](CCC#N)c1.CCCCC(CC)CCC(=O)[O-],17,0.94,3-(2-cyanoethyl)-1-decyl-1H-imidazolium,4-ethyloctanoate,1000,,
C07_A07,Cn1cc[n+](CCCCCCCCO)c1.CCC(=O)[O-],15,0.9720670391061452,3-(6-hydroxyhexyl)-1-methylimidazolium,propionate,1000,,
C08_A08,CCCCn1c(C)cc(C)[n+]1-c1cccc(F)c1.NCCCCC(N)C(=O)[O-],18,0.9054545454545454,"1-phenyl-2-butyl-3,5-dimethylpyrazolium",L-lysinate,1000,,
C09_A09,CCCCCCC(C)CC[n+]1cccc(C#N)c1.N#C[N-]C#N,18,0.9295154185022028,3-cyano-1-octylpyridinium,dicyanamide,1000,,
C10_A10,CCCCCC(CC)n1cc[n+](C)c1.NCCC(=O)[O-],14,0.9217391304347826,1-cyclopentyl-3-butylimidazolium,.beta.-alaninate,1000,,
C11_A11,CCc1c(C)cc(C)c[n+]1CCCC(C)CC.CCO[PH](=O)[O-],17,0.9756637168141592,"1-hexyl-3,5-dimethylpyridinium",ethyl phosphonate,1000,,
C12_A12,CCCC[P+](C)(CCCC)CCC(C)N.CCC(=O)[O-],15,0.9285714285714286,(3-aminopropyl)tributylphosphonium,propionate,1000,,
C13_A13,CCCCCCC[N+]1(C)CCOCC1.CC(C)CC(N)C(=O)[O-],14,0.990909090909091,4-methyl-4-octylmorpholin-4-ium,L-leucinate,1000,,
C14_A14,CCCCn1cc[n+](CCCC(C)CCC)c1.O=C([O-])C1CCCN1,17,0.9347826086956522,"1,3-diheptyl-1H-imidazol-3-ium",L-prolinate,1000,,
C15_A15,CCc1c(C)cc(C)c[n+]1CCCCC(C)P.CCCCCCP(=O)([O-])[O-],17,0.9735099337748344,"1-hexyl-3,5-dimethylpyridinium",hexylphosphonate,1000,,
C16_A16,CCC[n+]1ccn(CC(C)C)c1.CC(C)CC(N)C(=O)[O-],12,0.9632352941176472,1-isobutyl-3-methylimidazolium,L-leucinate,1000,,
C17_A17,Cc1cc(C)c(C)[n+](CCCCCO)c1.N#C[B-](C#N)(C#N)C#N,15,0.964769647696477,"1-hexyl-2,3,5-trimethylpyridinium",tetracyanoborate,1000,,
C18_A18,CCC(CC)CCc1c(C)cc(C)c[n+]1CC.NCCCCC(N)C(=O)[O-],17,0.9516806722689076,"1-ethyl-3,5-dimethyl-2-pentylpyridinium",L-lysinate,1000,,
C19_A19,CCC(CC)CCn1cc[n+](C)c1.N#C[C-](C#N)C#N,13,0.904494382022472,3-methyl-1-pentylimidazolium,tricyanomethane,1000,,
C20_A20,CCCCCCCC(CC)[n+]1ccn(CC)c1.CO[PH](=O)[O-],17,0.9437229437229436,1-cyclopentyl-3-butylimidazolium,methyl phosphonate,1000,,
C21_A21,CCCC(C)CCCC[n+]1ccn(C)c1.[Cl-],15,0.9550561797752808,1-(5-methylhexyl)-3-methylimidazolium,chloride,1000,,
C22_A22,CCOCC[N+]1(CC)CCCC1.CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C,12,0.9215686274509804,4-butyl-4-methylmorpholin-4-ium,"bis(2,4,4-trimethylpentyl)phosphinate",1000,,
C23_A23,CCCCCOCCn1cc[n+](CCC#N)c1.CCCCCCCCC=CCCCCCCCC(=O)[O-],17,0.9026548672566372,1-allyl-3-(2-methoxyethyl)-1H-imidazol-3-ium,oleate,1000,,
C24_A24,N#Cc1cc[n+](CCCCCCF)cc1.CC(C)CC(N)C(=O)[O-],15,0.9502762430939227,1-hexyl-4-cyanopyridinium,L-leucinate,1000,,
