cation_SMILES,anion_SMILES,salt_SMILES,cation_name,anion_name,salt_name
CCCCN1C=C[N+](=C1)C,[Cl-],"CCCCN1C=C[N+](=C1)C,[Cl-]",1-butyl-3-methylimidazoliumÂ ,chloride,1-butyl-3-methylimidazoliumÂ  chloride
CCCCN1C=C[N+](=C1)C,[Br-],"CCCCN1C=C[N+](=C1)C,[Br-]",1-butyl-3-methylimidazoliumÂ ,bromide,1-butyl-3-methylimidazoliumÂ  bromide
CCCN1C=C[N+](=C1C)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"CCCN1C=C[N+](=C1C)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F","1,2-dimethyl-3-propylimidazoliumÂ ",bis[(trifluoromethyl)sulfonyl]imide,"1,2-dimethyl-3-propylimidazoliumÂ  bis[(trifluoromethyl)sulfonyl]imide"
CCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"CCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F",1-ethyl-3-methylimidazolium,bis[(trifluoromethyl)sulfonyl]imide,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F",1-butyl-3-methylimidazoliumÂ ,bis(trifluoromethylsulfonyl)imide,1-butyl-3-methylimidazoliumÂ  bis(trifluoromethylsulfonyl)imide
CCCCN1C=C[N+](=C1C)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"CCCC[NH+]1C=CN(C1C)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F","1-butyl-2,3-dimethyl-1H-imidazolium ",bis(trifluoromethylsulfonyl)amide,"1-butyl-2,3-dimethyl-1H-imidazolium  bis(trifluoromethylsulfonyl)amide"
CCCCN1C=C[N+](=C1)C,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,"CCCCN1C=C[N+](=C1)C,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F",1-butyl-3-methylimidazoliumÂ ,bis(perfluoroethylsulfonyl)imide,1-butyl-3-methylimidazoliumÂ  bis(perfluoroethylsulfonyl)imide
CN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"CN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F","1,3-dimethylimidazoliumÂ ",bis((trifluoromethyl)sulfonyl)amide,"1,3-dimethylimidazoliumÂ  bis((trifluoromethyl)sulfonyl)amide"
CN1C=C[N+](=C1)C,CC(=O)[O-],"CN1C=C[N+](=C1)C,CC(=O)[O-]","1,3-dimethylimidazoliumÂ ",acetate,"1,3-dimethylimidazoliumÂ  acetate"
CCN1C=C[N+](=C1)C,CC(=O)[O-],"CCN1C=C[N+](=C1)C,CC(=O)[O-]",1-ethyl-3-methylimidazolium,acetate,1-ethyl-3-methylimidazolium acetate
CCCCN1C=C[N+](=C1)C,CC(=O)[O-],"CCCCN1C=C[N+](=C1)C,CC(=O)[O-]",1-butyl-3-methylimidazoliumÂ ,acetate,1-butyl-3-methylimidazoliumÂ  acetate
CCN1C=C[N+](=C1)C,C(C(F)(F)S(=O)(=O)NS(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,"CCN1C=C[N+](=C1)C,C(C(F)(F)S(=O)(=O)NS(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F",1-ethyl-3-methylimidazolium,"1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide","1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide"
CCN1C=C[N+](=C1)C,C(#N)[N-]C#N,"CCN1C=C[N+](=C1)C,C(#N)[N-]C#N",1-ethyl-3-methylimidazolium,Â dicyanamide,1-ethyl-3-methylimidazolium Â dicyanamide
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,"CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F",trihexyl(tetradecyl)phosphonium ,tris(pentafluoroethyl)trifluorophosphate,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate
CCCC[N+]1(CCCC1)C,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,"CCCC[N+]1(CCCC1)C,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F",1-butyl-1-methylpyrrolidinium ,tris(pentafluoroethyl)trifluorophosphate,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate
CCCC[N+]1(CCCC1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"CCCC[N+]1(CCCC1)CC,(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F",1-butyl-1-methylpyrrolidinium ,bis[(trifluoromethyl)sulfonyl]imide,1-butyl-1-methylpyrrolidinium b is[(trifluoromethyl)sulfonyl]imide
CCCCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,"CCCCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F",1-methyl-3-octylimidazolium ,tetrafluoroborate,1-methyl-3-octylimidazolium tetrafluoroborate
CCCCCCN1C=C[N+](=C1)C,F[P-](F)(F)(F)(F)F,"CCCCCCN1C=C[N+](=C1)C,F[P-](F)(F)(F)(F)F",1-hexyl-3-methylimidazolium ,hexafluorophosphate,1-hexyl-3-methylimidazolium hexafluorophosphate
CN1C=C[N+](=C1)C,COS(=O)(=O)[O-],"CN1C=C[N+](=C1)C,COS(=O)(=O)[O-]","1,3-dimethylimidazolium ",methylsulfate,"1,3-dimethylimidazolium methylsulfate"
CCCC[N+]1=CC=CC(=C1)C,C(#N)[N-]C#N,"CCCC[N+]1=CC=CC(=C1)C,C(#N)[N-]C#N",1-butyl-3-methylpyridinium ,dicyanamide,1-butyl-3-methylpyridinium dicyanamide
CCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,"CCCCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F",1-hexyl-3-methylimidazolium,tetrafluoroborate,1-hexyl-3-methylimidazolium tetrafluoroborate
CCCC[N+]1=CC=C(C=C1)C,[B-](F)(F)(F)F,"CCCC[N+]1=CC=C(C=C1)C,[B-](F)(F)(F)F",1-butyl-4-methylpyridinium ,tetrafluoroborate,1-butyl-4-methylpyridinium tetrafluoroborate
CCCC[N+]1=CC=CC=C1,[B-](F)(F)(F)F,"CCCC[N+]1=CC=CC=C1,[B-](F)(F)(F)F",1-butylpyridinium ,tetrafluoroborate,1-butylpyridinium tetrafluoroborate
CCCC[N+]1(CCCC1)C,C(F)(F)(F)S(=O)(=O)[O-],"CCCC[N+]1(CCCC1)C,C(F)(F)(F)S(=O)(=O)[O-]",1-butyl-1-methylpyrrolidinium ,trifluoromethanesulfonate,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate
CCCCCCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F,"CCCCCCCC[N+]1=CC=CC(=C1)C,[B-](F)(F)(F)F",1-octyl-3-methylpyridinium ,tetrafluoroborate,1-octyl-3-methylpyridinium tetrafluoroborate
CCN1C=C[N+](=C1)C,CC1=CC=C(C=C1)S(=O)(=O)[O-],"CCN1C=C[N+](=C1)C,CC1=CC=C(C=C1)S(=O)(=O)[O-]",1-ethyl-3-methylimidazolium ,4-methylbenzenesulfonate,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate
