Salt ID,Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,Model Prediction,MD Calculation,Error
C01_A01,C#CC(N=C=S)[N+](C)(CC(=O)O)C(O)(F)C(O)S.N[C@@H](CO)C(=O)[O-],18,0.5098814229249012,1-butyl-3-methylimidazolium,L-serinate,[1407.57  934.51],"580.82, 1452.21","[142.34, 35.65]"
C03_A03,CC[NH2+]C(O)(CN(S)S(C)(=O)=O)OC.N[C@@H](CO)C(=O)[O-],14,0.5163934426229508,1-ethylpyridinium,L-serinate,[1381.8   920.24],"522.59, 1370.71","[164.41, 32.86]"
C07_A07,CCOC(C(C)[NH3+])S(=O)(=O)OC1(Cl)CC1.N#C[C-](C#N)C#N,15,0.5083333333333333,1-butyl-3-methylimidazolium,tricyanomethane,[1264.7   920.14],"477.62, 1290.27","[164.79, 28.69]"
C08_A08,CCC(CCSC)C[P+](CC)(CC)CCl.O=C([O-])[C@@H]1CCCN1,15,0.5959595959595959,triethyloctylammonium,L-prolinate,[1349.13  907.23],"679.66, 1063.27","[98.5, 14.68]"
C12_A12,CCC(CSSCl)[n+]1cc(P)n(CC)c1S.C[C@@H](O)[C@H](N)C(=O)[O-],16,0.5428571428571428,1-butyl-3-methylimidazolium,L-threoninate,[1431.32  930.87],"647.24, 1274.82","[121.14, 26.98]"
C15_A15,CCCC(N)(N=N)[NH+]1C=CN(Nc2ccccc2)C1.CCOS(=O)(=O)[O-],19,0.5121951219512195,1-butyl-3-methylimidazolium,ethylsulfate,[1217.4   929.16],"618.56, 1239.13","[96.81, 25.02]"
C20_A20,Cc1n(Cl)cc(O)[n+]1CC#N.N#C[S-],11,0.5111111111111111,1-ethyl-2-methylpyridinium,thiocyanate,[1305.47  878.86],"262.43, 1331.20","[397.45, 33.98]"
C21_A21,CCCCCCc1c[n+](OCSC)ccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,17,0.5176991150442478,1-isobutyl-3-methylimidazolium,bis[(trifluoromethyl)sulfonyl]imide,[1246.55  904.33],"732.05, 1319.78","[70.28, 31.48]"
C22_A22,CCOC(C)n1cc[n+](C)c1OC(C)(CPP)SC.N[C@@H](CS)C(=O)[O-],19,0.5282258064516129,1-butyl-3-methylimidazolium,L-cysteinate,[1251.53  921.38],"690.64, 1204.35","[81.21, 23.5]"
C24_A24,CCC(C)n1cc(ON=N)[n+](C)c1.O=C([O-])C(F)(F)F,13,0.6064814814814815,1-isobutyl-3-methylimidazolium,trifluoroacetate,[1217.93  936.54],"431.35, 1239.43","[182.35, 24.44]"
