Salt ID,Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,Model Prediction,MD Calculation,Error
C08_A08,CCCCn1cc[n+](CCCCCCONO)c1.CC(=O)[O-],18,0.8121212121212121,1-butyl-3-methylimidazolium,acetate,[1010.26 1049.74],"608.87, 1059.24","[65.92, 0.9]"
C10_A10,CCCCCC(CCCC)Cn1cc[n+](CN)c1.N#C[C-](C#N)C#N,18,0.7362637362637363,1-butyl-3-methylimidazolium,tricyanomethane,[952.92 959.32],"653.08, 995.89","[45.91, 3.67]"
C01_A01,CCC(CC)CCCCCCCn1cc[n+](S)c1N.CCCCCCCCOS(=O)(=O)[O-],19,0.6237623762376238,1-butyl-3-methylimidazolium,octyl sulfate,[990.99 997.82],"953.28, 1030.46","[3.96, 3.17]"
C04_A04,Cc1cc[n+](CCCCCCCCCCCP)cc1.NCCS(=O)(=O)[O-],19,0.8848920863309353,1-butyl-2-methylpyridinium,2-aminoethanesulfonate,[ 971.82 1065.  ],"739.63, 1072.17","[31.39, 0.67]"
C07_A07,Cc1ccc[n+](CCCCCCCCCCCP)c1.NCCS(=O)(=O)[O-],19,0.956043956043956,N-octyl-3-methylpyridinium,2-aminoethanesulfonate,[ 986.73 1068.57],"836.29, 1076.03","[17.99, 0.69]"
C11_A11,CCCCCCCCCCn1c[n+](C)cc1NO.O=C([O-])[C@@H]1CCCN1,18,0.6442307692307693,1-butyl-3-methylimidazolium,L-prolinate,[1002.54 1037.63],"819.82, 1026.11","[22.29, 1.12]"
C12_A12,CCCCCCCCCCn1cc[n+](SS)c1N.CCCCCCCCOS(=O)(=O)[O-],18,0.6046511627906976,1-butyl-3-methylimidazolium,octyl sulfate,[ 988.23 1002.77],"940.73, 1070.04","[5.05, 6.29]"
C18_A18,CCCCCCCC[n+]1cccc(C)c1CCC.CCCCCCCCOS(=O)(=O)[O-],18,0.6029850746268657,"1,2-diethylpyridinium",octyl sulfate,[ 919.53 1007.25],"1031.34, 969.50","[10.84, 3.89]"
C20_A20,CCCCCCCC[n+]1cccc(CF)c1.CCCCCCCCOS(=O)(=O)[O-],16,0.7909090909090909,N-octyl-3-methylpyridinium,octyl sulfate,[1032.11 1059.73],"818.43, 1018.95","[26.11, 4.0]"
C02_A02,CCCc1n(C)c(CC)c[n+]1C(N)C(C)C.N#C[N-]C#N,16,0.5236220472440944,1-butyl-3-methylimidazolium,dicyanamide,[ 985.38 1083.23],"522.10, 1011.91","[88.73, 7.05]"
C12_A12,CCCCC(CC)(CCC)CC[N+]1=C(S)CCC1.N[C@@H](CO)C(=O)[O-],18,0.5132743362831859,"N,N,N-triethyldodecan-1-aminium",L-serinate,[1013.98 1040.46],"783.03, 1015.28","[29.49, 2.48]"
C13_A13,CCC(CCP)C(SCC(C)CCCN)N([NH3+])O.NCCCC[C@H](N)C(=O)[O-],18,0.509009009009009,1-butyl-3-methylimidazolium,L-lysinate,[945.94 992.99],"886.71, 1072.22","[6.68, 7.39]"
C14_A14,CCCC([NH3+])C(C)(CCC)N(N=N)C(C)=O.[Cl-],16,0.5079365079365079,1-ethylpyridinium,chloride,[1048.13 1046.05],"460.58, 1018.01","[127.57, 2.75]"
C15_A15,CCCCC(CC)(CCC)CC[N+]1=C(S)CCC1.N[C@@H](CO)C(=O)[O-],18,0.5132743362831859,"N,N,N-triethyldodecan-1-aminium",L-serinate,[1013.98 1040.46],"713.49, 1015.79","[42.12, 2.43]"
C16_A16,CCC(CCCCCCCCCl)n1cc[n+](C)c1.NCCCC[C@H](N)C(=O)[O-],18,0.7486033519553073,1-butyl-3-methylimidazolium,L-lysinate,[ 984.56 1059.49],"819.28, 1030.00","[20.17, 2.86]"
C19_A19,CCCCCC[n+]1ccn(C(N)(CC)CCC)c1.C[C@@H](O)[C@H](N)C(=O)[O-],18,0.6146788990825688,1-butyl-3-methylimidazolium,L-threoninate,[1020.5  1064.97],"752.00, 1006.06","[35.7, 5.86]"
C24_A24,CCC(CCCS)[n+]1cc[nH]c1.CS(=O)(=O)[O-],12,0.6878612716763006,1-butyl-3-methylimidazolium,methanesulfonate,[ 906.21 1004.25],"445.29, 1210.55","[103.51, 17.04]"
C25_A25,CCCCCC[n+]1c(N=N)c(PCC)n(C)c1C.O=C([O-])[C@@H]1CCCN1,18,0.5275590551181102,1-butyl-3-methylimidazolium,L-prolinate,[ 948.19 1041.23],"739.93, 1053.78","[28.15, 1.19]"
C26_A26,CCCC(S)C[n+]1cc[nH]c1.CS(=O)(=O)[O-],11,0.6744186046511628,1-butyl-3-methylimidazolium,methanesulfonate,[ 964.47 1022.89],"411.16, 1237.06","[134.57, 17.31]"
C30_A30,CCCCC(CC)(CCC)CC[N+]1=C(S)CCC1.N#C[S-],18,0.5132743362831859,"N,N,N-triethyldodecan-1-aminium",thiocyanate,[ 972.67 1020.45],"600.75, 982.07","[61.91, 3.91]"
C32_A32,CCCCC(CCC)[n+]1cc[nH]c1.O=S(=O)([O-])C(F)(F)F,13,0.6900584795321637,1-butyl-3-methylimidazolium,trifluoromethanesulfonate,[ 973.49 1070.81],"503.50, 1185.52","[93.34, 9.68]"
C34_A34,CCCCCCC(NF)[N+](C)(CCCl)CCCC.NCCCC[C@H](N)C(=O)[O-],18,0.5041322314049587,triethyloctylammonium,L-lysinate,[ 965.78 1043.6 ],"815.53, 1047.84","[18.42, 0.4]"
