Salt ID,Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,Model Prediction,MD Calculation,Error
C02_A02,CCCCC(SC)c1cccc[n+]1CC.CC(=O)[O-],15,0.5674157303370787,"1,2-diethylpyridinium",acetate,[ 409.81 1180.65],"578.68, 1019.28","[29.18, 15.83]"
C07_A07,Cc1ccc[n+](CC(C)P)c1.CC(=O)[O-],11,0.8167539267015707,1-butyl-3-methylpyridinium,acetate,[ 431.39 1151.69],"421.52, 1076.75","[2.34, 6.96]"
C09_A09,CC[n+]1ccn(CCC#N)c1.O=C([O-])[C@@H]1CCCN1,11,0.8920863309352518,1-methyl-3-propylimidazolium,L-prolinate,[ 434.93 1157.62],"519.71, 1118.72","[16.31, 3.48]"
C13_A13,C=CC(CPS)n1cc[n+](C)c1.N#C[N-]C#N,12,0.5825242718446602,1-butyl-3-methylimidazolium,dicyanamide,[ 409.36 1249.52],"406.77, 1178.30","[0.64, 6.04]"
C14_A14,COn1cc[n+](CCCNCCO)c1.O=C([O-])[C@@H]1CCCN1,14,0.6173469387755102,1-butyl-3-methylimidazolium,L-prolinate,[ 394.15 1254.34],"582.13, 1156.57","[32.29, 8.45]"
C15_A15,CC[n+]1cccc(C)c1C(=O)OC.NCCS(=O)(=O)[O-],13,0.5462184873949579,1-ethyl-2-methylpyridinium,2-aminoethanesulfonate,[ 445.68 1224.71],"507.05, 1257.00","[12.1, 2.57]"
C17_A17,CCC[n+]1cc[nH]c1-c1ccccc1.N[C@@H](CS)C(=O)[O-],14,0.5727699530516432,1-butyl-3-methylimidazolium,L-cysteinate,[ 425.65 1174.79],"524.17, 1184.71","[18.8, 0.84]"
C21_A21,CCCCCCCn1cc[n+](C)c1O.[Cl-],14,0.7613636363636364,1-butyl-3-methylimidazolium,chloride,[ 437.23 1226.96],"418.80, 1038.44","[4.4, 18.15]"
C22_A22,CCCC(F)C[n+]1cn(C(S)CCC)cc1N.[Cl-],17,0.5726495726495726,1-butyl-3-methylimidazolium,chloride,[ 433.26 1215.46],"518.80, 1124.45","[16.49, 8.09]"
C25_A25,CCOCCC[n+]1ccc(NC)c(C)c1.COP(=O)([O-])OC,15,0.5919117647058824,N-octyl-3-methylpyridinium,dimethylphosphate,[ 419.55 1104.16],"589.05, 1140.05","[28.78, 3.15]"
C28_A28,C2=CN(C=[N+]2CCC#N)CCCCCC.O=[N+]([O-])[O-],15,0.8763440860215054,3-hexyl-1-methylimidazolium,nitrate,[ 391.69 1182.38],"468.48, 1092.71","[16.39, 8.21]"
C30_A30,CCCn1cc[n+](c1C)C.O=C([O-])C(F)(F)F,10,0.775,1-methyl-3-propylimidazolium,trifluoroacetate,[ 429.44 1239.27],"404.48, 1178.08","[6.17, 5.19]"
C34_A34,CCc1cccc[n+]1NCCCCC(CC)N=O.CC(=O)[O-],18,0.5176991150442478,1-butyl-3-methylimidazolium,acetate,[ 414.02 1130.77],"625.28, 1028.35","[33.79, 9.96]"
C35_A35,CCSn1cc[n+](CC)c1.N#CN=C=[N-],10,0.5494505494505495,1-(2-hydroxyethyl)-3-methylimidazolium,dicyanoazanide,[ 413.67 1170.1 ],"367.25, 1110.30","[12.64, 5.39]"
C36_A36,N#CCCn1cc[n+](Oc2ccccc2)c1.O=S(=O)([O-])C(F)(F)F,16,0.5794392523364486,1-butyl-3-methylimidazolium,trifluoromethanesulfonate,[ 418.38 1281.68],"449.51, 1379.03","[6.93, 7.06]"
C44_A44,CC(C=O)CCc1cccc[n+]1C.N#C[S-],13,0.6653992395437263,"1,2-diethylpyridinium",thiocyanate,[ 432.12 1254.8 ],"401.82, 1097.19","[7.54, 14.36]"
C53_A53,CC(=O)CCCC[N+](C)(C)C.O=[N+]([O-])[O-],11,0.581081081081081,"N,N,N-triethyldodecan-1-aminium",nitrate,[ 434.25 1161.24],"437.27, 1154.81","[0.69, 0.56]"
C55_A55,Cn1cc(NO)[n+](Cc2ccccc2)c1.N[C@@H](CO)C(=O)[O-],15,0.6325878594249201,1-benzyl-3-methyl-1H-imidazol-3-ium,L-serinate,[ 385.92 1173.44],"579.06, 1249.53","[33.35, 6.09]"
C57_A57,C=NC(C(P)CCC(C)C)n1cc[n+](C)c1.N#CN=C=[N-],16,0.575107296137339,1-butyl-3-methylimidazolium,dicyanoazanide,[ 441.0  1195.26],"544.35, 1071.27","[18.99, 11.57]"
C61_A61,C=CCCc1c(NC)ccc[n+]1CCNO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,16,0.5416666666666666,1-ethyl-2-methylpyridinium,bis[(trifluoromethyl)sulfonyl]imide,[ 431.55 1257.17],"683.12, 1445.28","[36.83, 13.02]"
