Salt ID,Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,Model Prediction,MD Calculation,Error
C13_A13,CCC(CCP)C(SCC(C)CCCN)N([NH3+])O.NCCCC[C@H](N)C(=O)[O-],18,0.509009009009009,1-butyl-3-methylimidazolium,L-lysinate,[945.94 992.99],"886.71, 1072.22","[6.68, 7.39]"
C14_A14,CCCC([NH3+])C(C)(CCC)N(N=N)C(C)=O.[Cl-],16,0.5079365079365079,1-ethylpyridinium,chloride,[1048.13 1046.05],"460.58, 1018.01","[127.57, 2.75]"
C15_A15,CCCCC(CC)(CCC)CC[N+]1=C(S)CCC1.N[C@@H](CO)C(=O)[O-],18,0.5132743362831859,"N,N,N-triethyldodecan-1-aminium",L-serinate,[1013.98 1040.46],"713.49, 1015.79","[42.12, 2.43]"
C16_A16,CCC(CCCCCCCCCl)n1cc[n+](C)c1.NCCCC[C@H](N)C(=O)[O-],18,0.7486033519553073,1-butyl-3-methylimidazolium,L-lysinate,[ 984.56 1059.49],"819.28, 1030.00","[20.17, 2.86]"
C19_A19,CCCCCC[n+]1ccn(C(N)(CC)CCC)c1.C[C@@H](O)[C@H](N)C(=O)[O-],18,0.6146788990825688,1-butyl-3-methylimidazolium,L-threoninate,[1020.5  1064.97],"752.00, 1006.06","[35.7, 5.86]"
C24_A24,CCC(CCCS)[n+]1cc[nH]c1.CS(=O)(=O)[O-],12,0.6878612716763006,1-butyl-3-methylimidazolium,methanesulfonate,[ 906.21 1004.25],"445.29, 1210.55","[103.51, 17.04]"
C25_A25,CCCCCC[n+]1c(N=N)c(PCC)n(C)c1C.O=C([O-])[C@@H]1CCCN1,18,0.5275590551181102,1-butyl-3-methylimidazolium,L-prolinate,[ 948.19 1041.23],"739.93, 1053.78","[28.15, 1.19]"
C26_A26,CCCC(S)C[n+]1cc[nH]c1.CS(=O)(=O)[O-],11,0.6744186046511628,1-butyl-3-methylimidazolium,methanesulfonate,[ 964.47 1022.89],"411.16, 1237.06","[134.57, 17.31]"
C30_A30,CCCCC(CC)(CCC)CC[N+]1=C(S)CCC1.N#C[S-],18,0.5132743362831859,"N,N,N-triethyldodecan-1-aminium",thiocyanate,[ 972.67 1020.45],"600.75, 982.07","[61.91, 3.91]"
C32_A32,CCCCC(CCC)[n+]1cc[nH]c1.O=S(=O)([O-])C(F)(F)F,13,0.6900584795321637,1-butyl-3-methylimidazolium,trifluoromethanesulfonate,[ 973.49 1070.81],"503.50, 1185.52","[93.34, 9.68]"
C34_A34,CCCCCCC(NF)[N+](C)(CCCl)CCCC.NCCCC[C@H](N)C(=O)[O-],18,0.5041322314049587,triethyloctylammonium,L-lysinate,[ 965.78 1043.6 ],"815.53, 1047.84","[18.42, 0.4]"
C39_A39,CCCCc1c[n+](C)c(CCC(C)CC)n1CC.NCCCC[C@H](N)C(=O)[O-],18,0.5365853658536586,1-butyl-3-methylimidazolium,L-lysinate,[ 944.87 1007.12],"813.79, 964.08","[16.11, 4.46]"
C41_A41,CCCNC(=[NH+]C(Cl)CC)N(C)CSCCC.O=[N+]([O-])[O-],17,0.5,triethyloctylammonium,nitrate,[1024.82 1069.57],"572.38, 1123.90","[79.05, 4.83]"
C45_A45,CCCC(C)CC[NH+](C)C=N.COP(=O)([O-])OC,11,0.6266666666666667,"N,N,N-triethyldodecan-1-aminium",dimethylphosphate,[ 992.26 1086.37],"520.85, 1081.58","[90.51, 0.44]"
C47_A47,CCCC(C)c1c(C)n(C(C)CC)c(N)[n+]1C(C)S.O=C([O-])[C@@H]1CCCN1,19,0.5234375,1-butyl-3-methylimidazolium,L-prolinate,[1043.57 1034.41],"737.63, 1031.78","[41.48, 0.25]"
C53_A53,CCCCC(CC)(CCC)CC[N+]1=C(S)CCC1.N#C[S-],18,0.5132743362831859,"N,N,N-triethyldodecan-1-aminium",thiocyanate,[ 972.67 1020.45],"596.16, 979.65","[63.16, 4.16]"
C58_A58,CCCCCC[n+]1cc(CCC)cc(C)c1CC.CCCCCCCCOS(=O)(=O)[O-],18,0.5579399141630901,1-ethyl-2-methylpyridinium,octyl sulfate,[ 932.06 1010.91],"926.97, 968.88","[0.55, 4.34]"
C61_A61,CCCC(CC(C)CC)C[NH+]1C=NC(P)=C1.CS(=O)(=O)[O-],16,0.5,"N,N,N-triethyldodecan-1-aminium",methanesulfonate,[1032.4  1051.09],"581.04, 1100.28","[77.68, 4.47]"
